Date,Name,Tags,Project,Description
2025/01/11 21:15 (JST) → 2025/01/12 1:00 (JST),journaling / LRTまとめ,"Journaling, Today's Recap",,
2025/01/11 20:15 (JST) → 21:15,dinner and shower,Life,,
2025/01/11 19:00 (JST) → 20:15,transfer / discovering,Discovering,,
2025/01/11 17:30 (JST) → 19:00,プラズマ理工学 / 復習 > 2.流体的取り扱い > ２流体近似まで,"High Productive, Input, Output, Review","プラズマ理工学／Plasma Science and Technology (https://www.notion.so/Plasma-Science-and-Technology-1127ef7cacf1809c9860c771f83792c6?pvs=21) ",
2025/01/11 14:30 (JST) → 17:30,制御工学第二 / 最適制御法 > 教科書まとめ,"High Productive, Input, Output, Review","制御工学第二／Control Engineering 2 (https://www.notion.so/Control-Engineering-2-1137ef7cacf1807abbb6e4897f596f32?pvs=21) ","応用制御工学 (電気・電子・情報・通信基礎コース) (https://www.notion.so/14b7ef7cacf1802b8f3fe2c967e4cfc1?pvs=21) "
2025/01/11 14:00 (JST) → 14:30,散歩,Life,,
2025/01/11 11:30 (JST) → 14:00,制御工学第二 / 極配置法まで > 教科書まとめ,"High Productive, Input, Output, Review","制御工学第二／Control Engineering 2 (https://www.notion.so/Control-Engineering-2-1137ef7cacf1807abbb6e4897f596f32?pvs=21) ","応用制御工学 (電気・電子・情報・通信基礎コース) (https://www.notion.so/14b7ef7cacf1802b8f3fe2c967e4cfc1?pvs=21) "
2025/01/11 10:15 (JST) → 11:30,transfer / listening,"English, Tranfer","English(2025.1) (https://www.notion.so/English-2025-1-1727ef7cacf180c282fbf699b9b4df28?pvs=21) ",
2025/01/11 9:30 (JST) → 10:15,morning / push-up50,"Exercise, Life, Push-up","Push-up50 (https://www.notion.so/Push-up50-1787ef7cacf180718bb6e59f87537c9c?pvs=21) ","腕立て50回0111 (https://www.notion.so/50-0111-1777ef7cacf1801c981ed35e75549ab4?pvs=21) "
2025/01/11 1:30 (JST) → 9:30,sleep800,Sleep,,
2025/01/11 0:00 (JST) → 1:30,ナウシカ考察,Life,,
2025/01/10 23:45 (JST) → 2025/01/11 0:00 (JST),journaling / planning,"Journaling, Today's Recap",,
2025/01/10 22:15 (JST) → 23:45,"dinner and shower, ハウル / push-up20","Exercise, Life, Push-up","Push-up50 (https://www.notion.so/Push-up50-1787ef7cacf180718bb6e59f87537c9c?pvs=21) ","腕立て50回0110 (https://www.notion.so/50-0110-1767ef7cacf18072adccf6b379a84b25?pvs=21) "
2025/01/10 21:00 (JST) → 22:15,transfer / Anki10枚以上,"English, Input, Productive, Tranfer","English(2025.1) (https://www.notion.so/English-2025-1-1727ef7cacf180c282fbf699b9b4df28?pvs=21) ","帰宅中にAnki作成0111 (https://www.notion.so/Anki-0111-1767ef7cacf180f6a4aadf1c63cddad6?pvs=21) "
2025/01/10 18:45 (JST) → 21:00,プラズマ理工学 / 波動範囲の復習,"High Productive, Output, Review","プラズマ理工学／Plasma Science and Technology (https://www.notion.so/Plasma-Science-and-Technology-1127ef7cacf1809c9860c771f83792c6?pvs=21) ",
2025/01/10 17:00 (JST) → 18:45,制御工学第二 / 教科書読む,"Input, Productive, Review","制御工学第二／Control Engineering 2 (https://www.notion.so/Control-Engineering-2-1137ef7cacf1807abbb6e4897f596f32?pvs=21) ","応用制御工学 (電気・電子・情報・通信基礎コース) (https://www.notion.so/14b7ef7cacf1802b8f3fe2c967e4cfc1?pvs=21) "
2025/01/10 16:00 (JST) → 17:00,制御工学第二 / ディジタル制御のスライド復習,"Input, Productive, Review","制御工学第二／Control Engineering 2 (https://www.notion.so/Control-Engineering-2-1137ef7cacf1807abbb6e4897f596f32?pvs=21) ",
2025/01/10 14:45 (JST) → 16:00,情報理論 / 教科書読む,"Input, Productive, Review","情報理論／Information Theory (https://www.notion.so/Information-Theory-1157ef7cacf1809fb1b5c7063a25609f?pvs=21) ","情報理論 (電子通信大学講座 第 39巻) (https://www.notion.so/39-1777ef7cacf18078b569ea738081e832?pvs=21) 
情報理論の基礎 (https://www.notion.so/1777ef7cacf180b18aa2cc2e9f216501?pvs=21) "
2025/01/10 13:00 (JST) → 14:45,情報理論 / ノート復習完了,"Input, Productive, Review","情報理論／Information Theory (https://www.notion.so/Information-Theory-1157ef7cacf1809fb1b5c7063a25609f?pvs=21) ",
2025/01/10 12:15 (JST) → 13:00,discovering,Discovering,,
2025/01/10 10:25 (JST) → 12:10,マルチエージェントシステム,"Input, Lecture, Non-Productive","マルチエージェントシステム／Multi-Agent System (https://www.notion.so/Multi-Agent-System-1127ef7cacf180b5a302e0ba7f7cef1a?pvs=21) ",
2025/01/10 8:30 (JST) → 10:15,幾何数理工学 / テンソル,"Input, Lecture, Productive","幾何数理工学／Geometrical Method in Mathematical Engineering (https://www.notion.so/Geometrical-Method-in-Mathematical-Engineering-1137ef7cacf18058967df832af77c439?pvs=21) ",
2025/01/10 7:15 (JST) → 8:30,transfer / listening,"English, Tranfer","English(2025.1) (https://www.notion.so/English-2025-1-1727ef7cacf180c282fbf699b9b4df28?pvs=21) ",
2025/01/10 7:00 (JST) → 7:15,morning,Life,,
2025/01/10 0:15 (JST) → 7:00,sleep645,Sleep,,
2025/01/10 0:00 (JST) → 0:15,"English listening ",English,,
2025/01/09 23:45 (JST) → 2025/01/10 0:00 (JST),journaling,Journaling,,
2025/01/09 23:15 (JST) → 23:45,shower,Life,,
2025/01/09 22:00 (JST) → 23:15,"Transfer / listening and Anki ","English, Productive, Tranfer","English(2025.1) (https://www.notion.so/English-2025-1-1727ef7cacf180c282fbf699b9b4df28?pvs=21) ",
2025/01/09 20:30 (JST) → 22:00,情報理論 / 復習,"Input, Productive, Review","情報理論／Information Theory (https://www.notion.so/Information-Theory-1157ef7cacf1809fb1b5c7063a25609f?pvs=21) ",
2025/01/09 18:00 (JST) → 20:30,くら寿司with森重中村,"Life, With friends",,
2025/01/09 17:00 (JST) → 18:00,雑談,"Life, With friends",,
2025/01/09 14:55 (JST) → 17:00,応用プロジェクトＡ,"Lecture, Non-Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2025/01/09 13:00 (JST) → 14:45,応用プロジェクトＡ,"Lecture, Non-Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2025/01/09 12:15 (JST) → 13:00,応用プロジェクト / 準備,"Output, Productive, coding","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2025/01/09 10:25 (JST) → 12:10,量子コンピューティング,"Input, Lecture, Productive","量子コンピューティング／Quantum computing (https://www.notion.so/Quantum-computing-1127ef7cacf180948dfdc75d4b2f8b5a?pvs=21) ",
2025/01/09 9:15 (JST) → 10:15,transfer / モデリング,"Review, Tranfer","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2025/01/09 9:00 (JST) → 9:00,morning,Life,,
2025/01/09 0:15 (JST) → 9:00,sleep845,Life,,
2025/01/08 23:15 (JST) → 2025/01/09 0:00 (JST),dinner and shower,Life,,
2025/01/08 22:00 (JST) → 23:15,transfer / 応用プロジェクト-DH変換,"Input, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2025/01/08 21:00 (JST) → 22:00,応用プロジェクト / シミュレーション,"Output, Productive, coding","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2025/01/08 19:30 (JST) → 21:00,電磁エネルギー基礎 / レポート課題,"Input, Output, Productive","電磁エネルギー基礎／Electromagnetic Energy Fundamentals (https://www.notion.so/Electromagnetic-Energy-Fundamentals-1127ef7cacf180bc9e15ff445a446800?pvs=21) ",
2025/01/08 19:00 (JST) → 19:30,journaling,"Journaling, Output, Productive",,
2025/01/08 16:50 (JST) → 18:35,数理手法II,"Input, Lecture, Productive","数理手法II／Mathematical Method II (https://www.notion.so/II-Mathematical-Method-II-1127ef7cacf18046b615ed8491a4edc2?pvs=21) ",
2025/01/08 14:55 (JST) → 16:40,電磁エネルギー基礎,"Input, Lecture, Productive","電磁エネルギー基礎／Electromagnetic Energy Fundamentals (https://www.notion.so/Electromagnetic-Energy-Fundamentals-1127ef7cacf180bc9e15ff445a446800?pvs=21) ",
2025/01/08 13:00 (JST) → 14:45,電磁エネルギー基礎,"Input, Lecture, Productive","電磁エネルギー基礎／Electromagnetic Energy Fundamentals (https://www.notion.so/Electromagnetic-Energy-Fundamentals-1127ef7cacf180bc9e15ff445a446800?pvs=21) ",
2025/01/08 12:15 (JST) → 13:00,南出先生,"MTG, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ","Paper (https://www.notion.so/Paper-14d7ef7cacf18012b56ed77c17ed53b4?pvs=21) 
Potential Impact Evaluation of TPARC II Dropsonde Observations Based on Ensemble Simulations of Typhoon Nanmadol (2022) (https://www.notion.so/Potential-Impact-Evaluation-of-TPARC-II-Dropsonde-Observations-Based-on-Ensemble-Simulations-of-Typh-1747ef7cacf180d49b7cdecb9cb6a262?pvs=21) 
英訳+体裁整える0108 (https://www.notion.so/0108-1747ef7cacf1808ebc2ae06ce6a5aa0e?pvs=21) "
2025/01/08 10:25 (JST) → 12:10,核融合プラズマ科学,"Input, Lecture, Productive","核融合プラズマ科学／Fusion Plasma Science (https://www.notion.so/Fusion-Plasma-Science-1127ef7cacf1808c9611cef4c99b6bfd?pvs=21) ",
2025/01/08 8:30 (JST) → 10:15,プラズマ理工学,"Input, Lecture, Productive","プラズマ理工学／Plasma Science and Technology (https://www.notion.so/Plasma-Science-and-Technology-1127ef7cacf1809c9860c771f83792c6?pvs=21) ",
2025/01/08 7:30 (JST) → 8:30,transfer / typhoon 英文チェック,Tranfer,"Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ","Paper (https://www.notion.so/Paper-14d7ef7cacf18012b56ed77c17ed53b4?pvs=21) 
Potential Impact Evaluation of TPARC II Dropsonde Observations Based on Ensemble Simulations of Typhoon Nanmadol (2022) (https://www.notion.so/Potential-Impact-Evaluation-of-TPARC-II-Dropsonde-Observations-Based-on-Ensemble-Simulations-of-Typh-1747ef7cacf180d49b7cdecb9cb6a262?pvs=21) 
英訳+体裁整える0108 (https://www.notion.so/0108-1747ef7cacf1808ebc2ae06ce6a5aa0e?pvs=21) "
2025/01/08 7:15 (JST) → 7:30,morning / push-up10,"Exercise, Life, Push-up","Push-up50 (https://www.notion.so/Push-up50-1787ef7cacf180718bb6e59f87537c9c?pvs=21) ","腕立て50回0108 (https://www.notion.so/50-0108-1747ef7cacf1804d96daffb515c1d23f?pvs=21) "
2025/01/08 5:30 (JST) → 7:15,typhoon / 英訳完了,"English, High Productive, Output","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ","Paper (https://www.notion.so/Paper-14d7ef7cacf18012b56ed77c17ed53b4?pvs=21) 
Potential Impact Evaluation of TPARC II Dropsonde Observations Based on Ensemble Simulations of Typhoon Nanmadol (2022) (https://www.notion.so/Potential-Impact-Evaluation-of-TPARC-II-Dropsonde-Observations-Based-on-Ensemble-Simulations-of-Typh-1747ef7cacf180d49b7cdecb9cb6a262?pvs=21) 
英訳+体裁整える0108 (https://www.notion.so/0108-1747ef7cacf1808ebc2ae06ce6a5aa0e?pvs=21) "
2025/01/08 0:15 (JST) → 5:30,sleep515,Sleep,,
2025/01/08 0:00 (JST) → 0:15,journaling,"Journaling, Life",,
2025/01/07 23:15 (JST) → 2025/01/08 0:00 (JST),dinner and shower,Life,,
2025/01/07 22:00 (JST) → 23:15,transfer / Anki > 動画終わらせる,"English, Input, Productive, Tranfer","English(2025.1) (https://www.notion.so/English-2025-1-1727ef7cacf180c282fbf699b9b4df28?pvs=21) ","帰宅中にAnki作成0107 (https://www.notion.so/Anki-0107-1737ef7cacf1801cb22dc30610abfec1?pvs=21) "
2025/01/07 16:45 (JST) → 22:00,typhoon / 文章訂正&英訳,"English, High Productive, Output, coding","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ","Paper (https://www.notion.so/Paper-14d7ef7cacf18012b56ed77c17ed53b4?pvs=21) 
文章訂正+英訳+追加分析0107 (https://www.notion.so/0107-1737ef7cacf18086bf13daa7a5523435?pvs=21) "
2025/01/07 14:55 (JST) → 16:40,先端コンピューティング / 並列化計算,"Input, Lecture, Output, Productive, coding","先端コンピューティング／High-End Computing (https://www.notion.so/High-End-Computing-1137ef7cacf18010b5d5e81fa02fad43?pvs=21) ",
2025/01/07 13:00 (JST) → 14:45,先端コンピューティング / 並列化計算,"Input, Lecture, Output, Productive, coding","先端コンピューティング／High-End Computing (https://www.notion.so/High-End-Computing-1137ef7cacf18010b5d5e81fa02fad43?pvs=21) ",
2025/01/07 12:15 (JST) → 13:00,lunch,"Life, With friends",,
2025/01/07 10:25 (JST) → 12:10,マルチエージェントシステム,"Input, Lecture, Productive","マルチエージェントシステム／Multi-Agent System (https://www.notion.so/Multi-Agent-System-1127ef7cacf180b5a302e0ba7f7cef1a?pvs=21) ",
2025/01/07 8:30 (JST) → 10:15,情報理論 / 情報通信露符号化定理,"Input, Lecture, Productive","情報理論／Information Theory (https://www.notion.so/Information-Theory-1157ef7cacf1809fb1b5c7063a25609f?pvs=21) ",
2025/01/07 7:15 (JST) → 8:30,transfer / Listening,"English, Tranfer","English(2025.1) (https://www.notion.so/English-2025-1-1727ef7cacf180c282fbf699b9b4df28?pvs=21) ",
2025/01/07 7:00 (JST) → 7:15,morning / push-up50,"Exercise, Life, Push-up","Push-up50 (https://www.notion.so/Push-up50-1787ef7cacf180718bb6e59f87537c9c?pvs=21) ","腕立て50回0107 (https://www.notion.so/50-0107-1737ef7cacf180a189a5fa1000d59ed1?pvs=21) "
2025/01/07 0:15 (JST) → 7:00,sleep645,Sleep,,
2025/01/06 23:15 (JST) → 2025/01/07 0:00 (JST),dinner and shower,Life,,
2025/01/06 22:00 (JST) → 23:15,transfer / Anki,"English, Productive, Tranfer","English(2025.1) (https://www.notion.so/English-2025-1-1727ef7cacf180c282fbf699b9b4df28?pvs=21) ","帰宅中にAnki作成 (https://www.notion.so/Anki-1727ef7cacf1805a9e71dab5955bee02?pvs=21) "
2025/01/06 16:15 (JST) → 22:00,typhoon / 図を作成,"High Productive, Output, coding","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ","Paper (https://www.notion.so/Paper-14d7ef7cacf18012b56ed77c17ed53b4?pvs=21) 
追加の図を全て作成&追加分析を完了&文章訂正 (https://www.notion.so/1727ef7cacf18061a0e9f4eea720362a?pvs=21) "
2025/01/06 14:55 (JST) → 16:15,流体力学演習Ａ２,"Input, Lecture, Output, Productive","流体力学演習Ａ２／Exercise in Hydrodynamics 2 (https://www.notion.so/Exercise-in-Hydrodynamics-2-1137ef7cacf18041bc53e9c9dd1ad61a?pvs=21) ",
2025/01/06 13:00 (JST) → 14:45,環境・エネルギー流体力学２,"Input, Lecture, Productive","環境・エネルギー流体力学２／Fluid Mechanics in Environment and Energy Systems 2 (https://www.notion.so/Fluid-Mechanics-in-Environment-and-Energy-Systems-2-1137ef7cacf180888de9f1822ae18962?pvs=21) ",
2025/01/06 12:15 (JST) → 13:00,lunch,"Life, With friends",,
2025/01/06 10:25 (JST) → 12:10,第一原理シミュレーション技法,"Input, Lecture, Productive","第一原理シミュレーション技法／First-principles calculation (https://www.notion.so/First-principles-calculation-1137ef7cacf18096bb3afb239954f91d?pvs=21) ",
2025/01/06 8:30 (JST) → 10:15,制御工学第二 / 非線形制御,"Input, Lecture, Productive","制御工学第二／Control Engineering 2 (https://www.notion.so/Control-Engineering-2-1137ef7cacf1807abbb6e4897f596f32?pvs=21) ",
2025/01/06 7:15 (JST) → 8:30,transfer / Listening,"English, Tranfer","English(2025.1) (https://www.notion.so/English-2025-1-1727ef7cacf180c282fbf699b9b4df28?pvs=21) ",
2025/01/06 7:00 (JST) → 7:15,morning / push-up50,"Exercise, Life, Push-up","Push-up50 (https://www.notion.so/Push-up50-1787ef7cacf180718bb6e59f87537c9c?pvs=21) ","腕立て50回0106 (https://www.notion.so/50-0106-1727ef7cacf18064b04ede8c5c2d3c37?pvs=21) "
2025/01/06 6:00 (JST) → 7:00,typhoon / writing a paper > 図を作成,"Output, Productive, coding","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ","Paper (https://www.notion.so/Paper-14d7ef7cacf18012b56ed77c17ed53b4?pvs=21) 
追加の図を全て作成&追加分析を完了&文章訂正 (https://www.notion.so/1727ef7cacf18061a0e9f4eea720362a?pvs=21) "
2025/01/06 0:15 (JST) → 6:00,sleep545,Sleep,,
2025/01/05 23:15 (JST) → 23:45,shower,Life,,
2025/01/05 22:15 (JST) → 23:15,雑談,Life,,
2025/01/05 21:30 (JST) → 22:15,transfer,Tranfer,,
2025/01/05 18:30 (JST) → 21:30,開成バスケ部新年会,"Event, Life, With friends",,
2025/01/05 17:30 (JST) → 18:30,transfer / Anki,"English, Tranfer","English(2025.1) (https://www.notion.so/English-2025-1-1727ef7cacf180c282fbf699b9b4df28?pvs=21) ",
2025/01/05 14:15 (JST) → 17:30,typhoon / writing paper > 追加の図を作成,"High Productive, Output","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ","Paper (https://www.notion.so/Paper-14d7ef7cacf18012b56ed77c17ed53b4?pvs=21) 
論文1周書き終える (https://www.notion.so/1-1717ef7cacf180a88f4eea7fff3f5007?pvs=21) "
2025/01/05 14:00 (JST) → 14:15,散歩,Life,,
2025/01/05 11:00 (JST) → 14:00,typhoon / writing paper > 和文第1稿完成,"High Productive, Output","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ","Paper (https://www.notion.so/Paper-14d7ef7cacf18012b56ed77c17ed53b4?pvs=21) 
論文1周書き終える (https://www.notion.so/1-1717ef7cacf180a88f4eea7fff3f5007?pvs=21) "
2025/01/05 9:45 (JST) → 11:00,transfer / English,"English, Tranfer","English(2025.1) (https://www.notion.so/English-2025-1-1727ef7cacf180c282fbf699b9b4df28?pvs=21) ",
2025/01/05 9:15 (JST) → 9:45,morning,Life,,
2025/01/05 5:45 (JST) → 9:15,typhoon / writing paper,"Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ","Paper (https://www.notion.so/Paper-14d7ef7cacf18012b56ed77c17ed53b4?pvs=21) 
論文1周書き終える (https://www.notion.so/1-1717ef7cacf180a88f4eea7fff3f5007?pvs=21) "
2025/01/05 5:30 (JST) → 5:45,morning / push-up50,"Exercise, Life, Push-up","Push-up50 (https://www.notion.so/Push-up50-1787ef7cacf180718bb6e59f87537c9c?pvs=21) ","腕立て50回 (https://www.notion.so/50-1717ef7cacf180a6a298f4c927e66769?pvs=21) "
2025/01/05 0:30 (JST) → 5:30,Sleep,Sleep,,
2025/01/04 22:00 (JST) → 2025/01/05 0:30 (JST),2025年の抱負,"Journaling, Output, Productive",,"2024年振返りと2025年の抱負 (https://www.notion.so/2024-2025-1717ef7cacf1809196befac1973b25cf?pvs=21) 
Dashboard (https://www.notion.so/Dashboard-dab914fbe8a84939bc8d7a5b078aadd7?pvs=21) "
2025/01/04 10:30 (JST) → 18:45,入間アウトレットモール,"Event, Life",,
2024/12/30 18:00 (JST) → 23:00,開成白組忘年会,"Event, Life, With friends",,
2024/12/30 17:00 (JST) → 18:00,散歩@日暮里,Life,,
2024/12/27 12:45 (JST) → 14:00,transfer,Tranfer,,
2024/12/27 12:15 (JST) → 12:45,トラベルセンター,Life,,
2024/12/27 10:25 (JST) → 12:10,マルチエージェントシステム,"Input, Lecture, Productive","マルチエージェントシステム／Multi-Agent System (https://www.notion.so/Multi-Agent-System-1127ef7cacf180b5a302e0ba7f7cef1a?pvs=21) ",
2024/12/27 8:30 (JST) → 10:15,幾何数理工学,"Input, Lecture, Productive","幾何数理工学／Geometrical Method in Mathematical Engineering (https://www.notion.so/Geometrical-Method-in-Mathematical-Engineering-1137ef7cacf18058967df832af77c439?pvs=21) ",
2024/12/27 7:15 (JST) → 8:30,transfer,"English, Tranfer",,
2024/12/27 7:00 (JST) → 7:15,morning,Life,,
2024/12/26 23:15 (JST) → 2024/12/27 0:00 (JST),shower,Life,,
2024/12/26 22:30 (JST) → 23:15,transfer,Tranfer,,
2024/12/26 21:00 (JST) → 22:30,E&E ２次会,"Event, Life, With friends",,
2024/12/26 18:45 (JST) → 21:00,応用プロジェクト / 懇親会,"Event, Life, With friends",,
2024/12/26 16:50 (JST) → 18:35,応用プロジェクトＡ / 最終コンペ,"Lecture, Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/12/26 14:55 (JST) → 16:40,応用プロジェクトＡ / 最終コンペ,"Lecture, Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/12/26 13:00 (JST) → 14:45,応用プロジェクトＡ / 最終コンペ,"Lecture, Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/12/26 10:25 (JST) → 12:10,量子コンピューティング,"Input, Lecture, Productive","量子コンピューティング／Quantum computing (https://www.notion.so/Quantum-computing-1127ef7cacf180948dfdc75d4b2f8b5a?pvs=21) ",
2024/12/26 9:00 (JST) → 10:15,transfer,"English, Tranfer",,
2024/12/26 7:15 (JST) → 9:00,応用プロジェクト / シミュレーション,"Input, Output, Productive, coding","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ","References for Wave Glider (https://www.notion.so/References-for-Wave-Glider-15d7ef7cacf180d88841f116d757bcd1?pvs=21) "
2024/12/26 7:00 (JST) → 7:15,morning,Life,,
2024/12/26 5:30 (JST) → 7:00,応用プロジェクト / シミュレーション,"Input, Output, Productive, coding","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ","References for Wave Glider (https://www.notion.so/References-for-Wave-Glider-15d7ef7cacf180d88841f116d757bcd1?pvs=21) "
2024/12/25 23:15 (JST) → 2024/12/26 0:00 (JST),dinner and shower,Life,,
2024/12/25 22:00 (JST) → 23:15,transfer,"Review, Tranfer","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ","References for Wave Glider (https://www.notion.so/References-for-Wave-Glider-15d7ef7cacf180d88841f116d757bcd1?pvs=21) "
2024/12/25 18:45 (JST) → 22:00,応用プロジェクト / シミュレーション,"Input, Output, Productive, coding","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ","References for Wave Glider (https://www.notion.so/References-for-Wave-Glider-15d7ef7cacf180d88841f116d757bcd1?pvs=21) "
2024/12/25 16:50 (JST) → 18:35,数理手法II,"Input, Lecture, Productive","数理手法II／Mathematical Method II (https://www.notion.so/II-Mathematical-Method-II-1127ef7cacf18046b615ed8491a4edc2?pvs=21) ",
2024/12/25 14:55 (JST) → 16:40,電磁エネルギー基礎 / 電力システム論 藤井先生,"Input, Lecture, Productive","電磁エネルギー基礎／Electromagnetic Energy Fundamentals (https://www.notion.so/Electromagnetic-Energy-Fundamentals-1127ef7cacf180bc9e15ff445a446800?pvs=21) ",
2024/12/25 13:00 (JST) → 14:45,電磁エネルギー基礎 / 電力システム論 藤井先生,"Input, Lecture, Productive","電磁エネルギー基礎／Electromagnetic Energy Fundamentals (https://www.notion.so/Electromagnetic-Energy-Fundamentals-1127ef7cacf180bc9e15ff445a446800?pvs=21) ",
2024/12/25 12:15 (JST) → 13:00,南出先生,"MTG, Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ","Paper (https://www.notion.so/Paper-14d7ef7cacf18012b56ed77c17ed53b4?pvs=21) "
2024/12/25 10:25 (JST) → 12:10,核融合プラズマ科学,"Input, Lecture, Productive","核融合プラズマ科学／Fusion Plasma Science (https://www.notion.so/Fusion-Plasma-Science-1127ef7cacf1808c9611cef4c99b6bfd?pvs=21) ",
2024/12/25 8:30 (JST) → 10:15,プラズマ理工学,"Input, Lecture, Productive","プラズマ理工学／Plasma Science and Technology (https://www.notion.so/Plasma-Science-and-Technology-1127ef7cacf1809c9860c771f83792c6?pvs=21) ",
2024/12/25 7:15 (JST) → 8:30,transfer,"English, Tranfer",,
2024/12/25 7:00 (JST) → 7:15,morning,Life,,
2024/12/25 5:30 (JST) → 7:00,typhoon / writing paper,"English, Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ","Paper (https://www.notion.so/Paper-14d7ef7cacf18012b56ed77c17ed53b4?pvs=21) "
2024/12/24 23:15 (JST) → 2024/12/25 0:00 (JST),dinner and shower,Life,,
2024/12/24 22:00 (JST) → 23:15,transfer,"English, Tranfer",,
2024/12/24 17:45 (JST) → 22:00,typhoon / writing paper,"English, Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ","Paper (https://www.notion.so/Paper-14d7ef7cacf18012b56ed77c17ed53b4?pvs=21) "
2024/12/24 12:15 (JST) → 17:45,応用プロジェクト / シミュレーション,"Input, Output, Productive, coding","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ","References for Wave Glider (https://www.notion.so/References-for-Wave-Glider-15d7ef7cacf180d88841f116d757bcd1?pvs=21) "
2024/12/24 10:25 (JST) → 12:10,マルチエージェントシステム,"Input, Lecture, Productive","マルチエージェントシステム／Multi-Agent System (https://www.notion.so/Multi-Agent-System-1127ef7cacf180b5a302e0ba7f7cef1a?pvs=21) ",
2024/12/24 8:30 (JST) → 10:15,情報理論,"Input, Lecture, Productive","情報理論／Information Theory (https://www.notion.so/Information-Theory-1157ef7cacf1809fb1b5c7063a25609f?pvs=21) ",
2024/12/24 7:15 (JST) → 8:30,transfer,"English, Tranfer",,
2024/12/24 7:00 (JST) → 7:15,morning,Life,,
2024/12/23 23:15 (JST) → 2024/12/24 0:00 (JST),dinner and shower,Life,,
2024/12/23 22:00 (JST) → 23:15,transfer,"Input, Tranfer","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ","References for Wave Glider (https://www.notion.so/References-for-Wave-Glider-15d7ef7cacf180d88841f116d757bcd1?pvs=21) "
2024/12/23 16:45 (JST) → 22:00,応用プロジェクト / シミュレーション,"Input, Output, Productive, coding","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ","References for Wave Glider (https://www.notion.so/References-for-Wave-Glider-15d7ef7cacf180d88841f116d757bcd1?pvs=21) "
