Date,Name,Tags,Project,Description
2024/11/08 14:45 (JST) → 16:45,Heat Transfer / HW,"English, Output, Productive","伝熱・熱力学(Heat Transfer)／Heat Transfer and Thermodynamics (https://www.notion.so/Heat-Transfer-Heat-Transfer-and-Thermodynamics-1127ef7cacf180cb9745eadfc44c0e81?pvs=21) ","Heat Transfer - Ninth Edition - International Edition (https://www.notion.so/Heat-Transfer-Ninth-Edition-International-Edition-1157ef7cacf180679ad5f59aae2c03d0?pvs=21) "
2024/11/08 13:00 (JST) → 14:45,数理演習３Ａ / 非線形最適化、ヘッセ行列、整数変数の最適化,"Input, Lecture, Output, Productive","数理演習３Ａ／Exercises for Mathematics 3A (https://www.notion.so/Exercises-for-Mathematics-3A-1127ef7cacf1806c8b1de052df485d6d?pvs=21) ",
2024/11/08 12:15 (JST) → 13:00,[対面]南出先生 / スライドの手直し,"MTG, Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/11/08 10:25 (JST) → 12:10,量子力学 / 角運動量の合成、クレプシュゴルダン係数、ケットの中身を変えると状態は異なる、LS結合とjj結合、３重項と１重項,"Input, Lecture, Productive","量子力学／Quantum mechanics (https://www.notion.so/Quantum-mechanics-1127ef7cacf18040bfc9d423061ad899?pvs=21) ",
2024/11/08 8:30 (JST) → 10:15,幾何数理工学 / Haussdorff空間、ホモトピー、ホモトピー同値、可縮、基本群、基点、基点つきホモトピー,"Input, Lecture, Productive","幾何数理工学／Geometrical Method in Mathematical Engineering (https://www.notion.so/Geometrical-Method-in-Mathematical-Engineering-1137ef7cacf18058967df832af77c439?pvs=21) ",
2024/11/08 7:15 (JST) → 8:30,transfer,"English, Tranfer",,
2024/11/08 7:00 (JST) → 7:15,morning,Life,,
2024/11/07 23:30 (JST) → 2024/11/08 0:00 (JST),量子力学 / 課題,"Output, Productive, Review","量子力学／Quantum mechanics (https://www.notion.so/Quantum-mechanics-1127ef7cacf18040bfc9d423061ad899?pvs=21) ","現代の量子力学(上)第3版 (物理学叢書112) (https://www.notion.so/3-112-1157ef7cacf180c79d17f3161fcc5254?pvs=21) "
2024/11/07 23:00 (JST) → 23:30,dinner and shower,Life,,
2024/11/07 22:00 (JST) → 23:00,Transfer / HeatTransfer,"Review, Tranfer","伝熱・熱力学(Heat Transfer)／Heat Transfer and Thermodynamics (https://www.notion.so/Heat-Transfer-Heat-Transfer-and-Thermodynamics-1127ef7cacf180cb9745eadfc44c0e81?pvs=21) ",
2024/11/07 20:30 (JST) → 22:00,量子力学 / 課題,"Output, Productive, Review","量子力学／Quantum mechanics (https://www.notion.so/Quantum-mechanics-1127ef7cacf18040bfc9d423061ad899?pvs=21) ","現代の量子力学(上)第3版 (物理学叢書112) (https://www.notion.so/3-112-1157ef7cacf180c79d17f3161fcc5254?pvs=21) "
2024/11/07 18:45 (JST) → 20:30,応用プロジェクト / 先生方と雑談,"Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/11/07 16:50 (JST) → 18:35,応用プロジェクトＡ,"Lecture, Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/11/07 14:55 (JST) → 16:40,応用プロジェクトＡ,"Lecture, Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/11/07 13:00 (JST) → 14:45,応用プロジェクトＡ,"Lecture, Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/11/07 12:15 (JST) → 13:00,[zoom]南出先生,"MTG, Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/11/07 10:25 (JST) → 12:10,数理計画と最適化２,"Input, Lecture, Productive","数理計画と最適化２／Mathematical Programming and Optimization 2 (https://www.notion.so/Mathematical-Programming-and-Optimization-2-1137ef7cacf180509189cc5588a3762a?pvs=21) ",
2024/11/07 8:30 (JST) → 10:15,数理計画と最適化２,"Input, Lecture, Productive","数理計画と最適化２／Mathematical Programming and Optimization 2 (https://www.notion.so/Mathematical-Programming-and-Optimization-2-1137ef7cacf180509189cc5588a3762a?pvs=21) ",
2024/11/07 7:15 (JST) → 8:30,transfer,"English, Tranfer",,
2024/11/07 7:00 (JST) → 7:15,morning,Life,,
2024/11/07 4:45 (JST) → 7:00,typhoon,"Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/11/07 4:30 (JST) → 4:45,morning,Life,,
2024/11/06 23:15 (JST) → 2024/11/07 0:00 (JST),dinner and shower / 12:15就寝,Life,,
2024/11/06 22:00 (JST) → 23:15,transfer / 電磁エネルギー基礎復習,"Review, Tranfer","電磁エネルギー基礎／Electromagnetic Energy Fundamentals (https://www.notion.so/Electromagnetic-Energy-Fundamentals-1127ef7cacf180bc9e15ff445a446800?pvs=21) ",
